"","X","IntNpy","IntPv","ExcL2","IntSst","ExcL6p2","Erp","ExcL5p1","ExcL6p1","NS","Sub","ExcL4","Syn","LrpS","ExcL5p3","IntCckVip","ExcL3","ExcL5p2","LrpD","Hip","Other"
"2574","cell_5399",0.516176002669016,0.281685174793202,0.653624628857446,0.341528782825563,0.915692399453098,0.577678311084433,0.662274771254131,0.547176335185353,0.471490515927509,0.492493260365998,0.678794194133463,0.720911901168807,0.336858596449466,0.528487670013228,0.372701609632337,0.563021632991723,0.527567728896557,0.728558888693004,0.310182296921788,0.728234178833978
"2575","cell_5400",0.384204194466245,0.243349054205512,0.538900814144299,0.332390800153087,0.963678568496412,0.567262402055759,0.658598341363877,0.523794588613504,0.802882573788629,0.503151609893893,0.34297968279107,0.951862711054908,0.574303135547715,0.545623357159958,0.321679528629707,0.587918680220434,0.766310824662341,1.17047860898734,0.318433589699712,0.547589881902689
"2576","cell_5401",0.46406615205336,0.260339920722645,0.571996599767641,0.338434129938366,0.975310123715533,0.561322659003039,0.641795239013378,0.521946170676756,0.591858997404077,0.473588393014355,0.44871136266286,0.800479273738811,0.338301495768449,0.49128986788687,0.337749690724259,0.571375532639325,0.588896875949806,0.803564887813151,0.306154731583199,0.543526577564877
"2577","cell_5402",0.264514747396085,0.191199348479676,0.180276865754141,0.198447283650236,0.2770539711783,0.228275988425638,0.346422903156532,0.299134231309211,0.233212777626084,0.172063752313734,0.142537148111452,0.257707988727671,0.185228717019896,0.161867592804053,0.1444765265887,0.181928363446357,0.221197162577845,0.252569106176941,0.10954046158447,0.177947821139898
"2578","cell_5403",0.496991284515584,1.15332386250587,0.360149321098326,0.556732922611143,0.490669282484791,0.520648140258251,0.545289753748733,0.472803045793094,0.750952060707364,0.460597758950966,0.53419795127374,0.73459905168228,0.3539614289774,0.386373063159295,0.39410021284767,0.497301573018592,0.813179295076753,0.808191068286533,0.182299406340499,0.620786739441324
"2579","cell_5404",0.194551846072887,0.138969471482957,0.173977689294579,0.159552756022302,0.230512161308615,0.246810149271716,0.264511542331521,0.297650458658994,0.220107523676327,0.155850019165397,0.176688640112662,0.273882281843512,0.248311950159922,0.134170301983922,0.11443645532785,0.202116279847939,0.209838946414813,0.232651451761098,0.0926774366072755,0.174632742876328
"2580","cell_5405",0.262560949216936,0.154060877987229,0.178978239349893,0.181364779606772,0.259909307730053,0.285423404119628,0.25206409683964,0.255287211301805,0.14916510608266,0.212829579522518,0.225393676281304,0.330786450726556,0.169929858346517,0.11864624547786,0.142161606317876,0.207125504489313,0.227303333445156,0.201770298323542,0.105113856702019,0.229868451817195
"2581","cell_5406",0.311176960646358,0.191328067741552,0.240614824209936,0.215882246918138,0.417732122121407,0.370985805951841,0.368893723592081,0.377709949989744,0.355944064015907,0.292120139864873,0.22427812432026,0.620253834827721,0.259891194754557,0.185901286729005,0.190861648218142,0.299153176996522,0.461091615162922,0.502233183975736,0.136267399232084,0.31852160285093
"2582","cell_5407",0.562046819996585,0.319993486825466,0.633178574010219,0.360842542184163,0.60233841348295,0.617867762403586,1.0134854064125,0.510162843749347,0.827149039993908,0.422021517300855,0.601903056644365,0.781868558243121,0.661947621522726,0.513840261705032,0.365251396306691,0.720576865440229,0.667935227696714,0.811596416664526,0.244796430993908,0.664905377005351
"2583","cell_5408",0.522216470739155,0.277722420807671,0.584212961044991,0.344319581644659,1.02874904513712,0.617624965860446,0.544309093436392,0.578544546006317,0.656531569499617,0.551519281931389,0.636319175611038,0.759558439428545,0.332216133721376,0.413471379344407,0.362558502222948,0.590013175510132,0.610248978917068,0.765948276275069,0.347329726255238,0.722626770131868
"2584","cell_5409",0.478288110663494,0.285920689241399,0.555320456076961,0.330696235359753,0.926668071277841,0.561664476976133,0.561532750450606,0.55516519412577,0.617130371657691,0.502305674030325,0.684164379399385,0.802351550973599,0.380777432407753,0.391665454312926,0.34289522596418,0.568406235389062,0.580786259029087,0.71274950324876,0.272252376444202,0.735021650288756
"2585","cell_5410",0.250536942602035,0.180860344113284,0.158456303412041,0.21520327423386,0.265566009753772,0.251114204626274,0.314243474732278,0.250535148138449,0.14254446158336,0.178878968776302,0.172638197398897,0.24980695674438,0.172606060291088,0.117643251757911,0.13868275660767,0.163020521241817,0.157609094713691,0.195744897219971,0.124888583803353,0.172541859914941
"2586","cell_5411",0.478664718093177,0.217499236436383,0.320781754803974,0.247183507793519,0.479234016222358,0.405508553149468,0.395912090329433,0.347784745441672,0.285503359831558,0.401123002487577,0.420403555175741,0.56702232838552,0.255738413230335,0.202705496675588,0.298221245603754,0.425390915255989,0.429066762960134,0.391632851389004,0.171923739984278,0.487945622413834
"2587","cell_5412",0.616847820189125,0.29406533455329,0.561844277059244,0.368513672565669,0.997720436713919,0.703215930665917,0.634397058606132,0.716924315606474,0.681694604617791,0.737376397158702,0.692981006619976,0.828145587411742,0.372107698448233,0.393202853945666,0.388304266807258,0.597394233026332,0.593486220084001,0.735684249988835,0.354449856948995,0.789434110549009
"2588","cell_5413",0.483377231269634,0.275297851816121,0.535042126788452,0.304038745715719,0.9314188220518,0.590314067935269,0.604471367127466,0.574656717544794,0.743601160785899,0.502139628996197,0.539058162128081,0.780223536558367,0.352787841567739,0.483104864760938,0.318460028247816,0.530697754524871,0.595901871554572,0.755879577923342,0.280860812284634,0.59501270632462
"2589","cell_5414",0.434619768494865,0.234825753290895,0.567145090007937,0.369060957788595,0.454536081238678,0.459188671672124,0.874266064888697,0.482610625782022,0.602540399990611,0.318004941543021,0.54145369493861,0.590212354835038,0.384617343978444,0.394184790792457,0.305240758785349,0.445945438600574,0.391081547607011,0.404081139318238,0.191117226545777,0.488547149469427
"2590","cell_5415",0.198202566562738,0.140984972086352,0.155631235627785,0.17128125308401,0.228428890714627,0.20625289131799,0.254481899644215,0.239885621989872,0.146195153208816,0.152740506625325,0.121246775297207,0.192278401337187,0.183346486355702,0.104498812920471,0.104999496597268,0.13369296159756,0.200341348416308,0.169271383535106,0.0802559609242005,0.131396337961736
"2591","cell_5416",0.216687468576669,0.150931895897637,0.259770882083763,0.175827308259872,0.263930621624287,0.326460388167699,0.433496993999951,0.32988930572126,0.364187480986435,0.203959230881673,0.304469848958192,0.474091033531094,0.332804762683818,0.328239187637972,0.228779540114741,0.319552804449569,0.370107688385102,0.374042247333707,0.185471033080946,0.337340017618087
"2592","cell_5417",0.623988367555255,0.29472455176325,0.565832071287014,0.371262806759389,0.959533235481486,0.724323293692866,0.555061138674318,0.672560487718101,0.659447662885157,0.69989699091252,0.65972791138568,0.971063376182932,0.411210350163602,0.457620923278314,0.39848216476398,0.655892294802333,0.592442213197764,0.767080123318385,0.386819167674672,0.812982309332162
"2593","cell_5418",0.37793502374497,0.239899830826516,0.472435925306388,0.290003537766296,0.764149012360914,0.498616187820079,0.584716615369845,0.427196145189448,0.464507470694656,0.492149907115543,0.502088816931164,0.602892479532187,0.387872763112629,0.462039860683493,0.299887685771904,0.505076512322129,0.411453304140382,0.708734385799915,0.253690729150142,0.6672594969751
"2594","cell_5419",0.47615178410743,0.255122700406547,0.467210911696866,0.291863848490908,0.797796169683662,0.498242917748262,0.462528828799638,0.44610431636312,0.518194884974377,0.468910317747143,0.511746004113501,0.669075451788311,0.249007026985836,0.287394707332614,0.285701794659766,0.465572418396238,0.438025805450243,0.513208190105739,0.276558164382099,0.516302430402054
"2595","cell_5420",0.392858821498749,0.230105806669617,0.445736607061008,0.269902825199082,0.750660193135967,0.559012190176057,0.565828603806163,0.40545479107997,0.576574883924897,0.351699783874256,0.467905700343754,0.683745653438556,0.376833200697717,0.330702682730861,0.283666542969918,0.438743234100747,0.517854898339811,0.816541534949188,0.237269883383096,0.512270066144549
"2596","cell_5421",0.25103457418527,0.266473194651046,0.204662542407774,0.215715161255657,0.258869807997461,0.248739323108705,0.232838594139274,0.261336674078686,0.337147950860235,0.211249661305962,0.261885926658716,0.390717785469165,0.150158511903063,0.129540984672562,0.158971045950785,0.20152433433859,0.226661770823708,0.291054020955499,0.098982094651741,0.235697001990556
"2597","cell_5422",0.486018399055651,0.259706845063139,0.466280894058831,0.304208934643984,0.741135582427562,0.503722496046913,0.547911202379994,0.447943239217021,0.518407429686486,0.453017852241812,0.431417213288229,0.736142972615292,0.313124724682764,0.428115291081138,0.309062232205837,0.472507029779234,0.59128315168499,0.662647261426747,0.31405313593119,0.549038471858694
"2598","cell_5423",0.521643738010313,0.278726258250672,0.668429971944395,0.398068937014199,0.559204889999249,0.632271392233678,1.10247486604671,0.587186915978483,0.596164132277489,0.440712675668597,0.626711883516176,0.774200664007453,0.716941085022892,0.594243571702801,0.471135073442177,0.676975199590096,0.562439607873737,0.856836221990987,0.290266507478431,0.760598666199911
"2599","cell_5424",0.426827056716948,0.746531788255885,0.344929201651313,0.449990774328559,0.426648602159045,0.430334493304229,0.394170683305328,0.372303445770572,0.474241179504183,0.432978919964065,0.510893233383358,0.519920509196823,0.246106850029274,0.322530526229521,0.291307212759143,0.385550174748144,0.414195295810447,0.419242507213487,0.174048920010232,0.45328160033715
