,x,y
197,-1202.5694164989939,10337.01106639839
198,-1200.4,10388.421875
199,-1230.319361277445,10961.499001996008
200,-1277.2564516129032,10996.264919354839
201,-1341.221505376344,10949.72688172043
202,-1331.1727272727273,10982.963636363636
203,-1357.5016835016836,10925.27946127946
204,-1434.6990654205608,10883.711214953271
205,-1464.2382762991128,10222.661596958174
206,-1533.72,10244.34
207,-1543.7839721254356,10589.393728222996
208,-1552.9600550964187,10551.111570247935
209,-1561.5650644783118,10431.50527549824
210,-1585.81640625,10238.64453125
211,-1593.8948717948717,10281.117948717949
212,-13.338891877353415,8466.63152232383
213,-10.057066768118698,9413.337264599582
214,-17.90105263157895,9159.38105263158
215,-37.17760180995475,9657.347285067874
216,-60.575630252100844,9949.495798319327
217,-92.5480093676815,8769.970725995316
218,-192.48872727272726,8802.310545454546
219,-299.12969283276453,9941.116040955632
220,-333.2391673746814,9003.594732370433
221,-320.30204081632655,8841.8
222,-367.7897252090801,9585.874551971327
223,-371.54290718038527,8680.949211908932
224,-370.77647058823527,9451.758823529412
225,-398.8893360160966,9216.173038229375
226,-393.5945945945946,9425.378378378378
227,-400.824302134647,9458.28407224959
228,-410.1836956521739,9144.5
229,-415.57037037037037,9418.988888888889
230,-417.90604026845637,8947.724832214764
231,-485.7328767123288,8748.729452054795
232,-531.8934210526315,8566.015204678362
233,-569.1568056902684,9477.967668929841
234,-546.6871508379888,8463.290502793296
235,-557.7942122186495,8822.18649517685
236,-569.8760611205433,9422.212224108658
237,-571.281124497992,9364.983935742972
238,-594.0478723404256,8479.29255319149
239,-642.7524950099801,8522.109780439121
240,-648.3628620102214,8954.381601362862
241,-643.7833333333333,8997.526666666667
242,-665.015509340853,9508.018329221008
243,-649.2815533980582,9153.533980582524
244,-656.1940298507462,10026.858208955224
245,-701.119927187065,8991.211585822894
246,-671.4661654135339,10000.263157894737
247,-674.7142857142857,8645.65625
248,-677.4556962025316,9394.487341772152
249,-682.0725806451613,9168.814516129032
250,-713.4906945074898,9274.828869723106
251,-725.5696202531645,9884.772151898735
252,-733.651923076923,9844.14423076923
253,-806.3792266019054,9446.372875023351
254,-797.6888888888889,9313.883950617284
255,-798.5,9366.419642857143
256,-852.7966101694915,8751.9604519774
257,-898.0,9652.137334689725
258,-1038.0689947089948,9362.534603174603
259,-982.5230414746544,9749.214285714286
260,-1023.2573529411765,9598.20588235294
261,-1081.0445216293022,9699.45863593306
262,-1043.5170068027212,9999.625850340137
263,-1059.4184782608695,9958.366847826088
264,-1075.280172413793,9923.400862068966
265,-1072.5403726708075,9906.832298136645
266,-1089.5584905660378,10016.76603773585
267,-1090.3007518796992,9219.233082706767
268,-1097.0925925925926,9962.192810457516
269,-1095.273381294964,9432.762589928057
270,-1097.196319018405,9996.674846625767
271,-1151.871244635193,9055.744635193132
272,-1220.960396039604,9424.186468646865
273,-1221.8640776699028,9391.57928802589
274,-1308.2112932604737,9341.273224043716
275,-1341.163492456097,9440.065792728172
276,-1399.723851203501,9696.778118161925
277,-1435.6639344262296,9850.131147540984
278,-1517.0378567268492,9823.078334304018
279,-1526.4663887441375,9409.036477331943
280,-1517.3125,10028.8125
281,-1552.8918918918919,9978.387387387387
282,-1568.9970472440946,9708.47440944882
283,-1558.9669421487604,9631.545454545454
284,-1584.5890909090908,8851.974545454545
285,-1602.748427672956,9996.43501048218
286,-1636.4373401534526,9636.147485080988
287,-1642.607142857143,9001.835714285715
288,-1643.5533333333333,9840.946666666667
289,-451.8948995363215,7717.994976816074
290,-509.9124087591241,7858.032761840095
291,-577.7328699106256,7992.814796425025
292,-625.5688073394496,8113.48623853211
293,-641.6842610364683,8050.177543186181
294,-770.881974248927,8167.057939914163
295,-769.8571428571429,8189.5
296,-812.9938347718866,8186.934648581998
297,-885.9463687150838,8177.175418994413
298,-911.4928,7177.4544
299,-917.6242774566474,7726.375722543353
300,-978.9465629053178,8118.194552529183
301,-984.6685185185186,8225.31111111111
302,-995.7579617834394,8310.48407643312
303,-1411.5476923076924,8232.495384615384
304,-7.378172588832487,6442.407360406091
305,-267.08264462809916,5922.644628099173
306,-317.1326860841424,5960.003236245955
307,-399.12391930835736,5269.778097982709
308,-742.625,5465.569444444444
309,-820.5722891566265,5671.975903614458
310,-949.7344632768362,5502.192090395481
311,-1041.2608695652175,6143.701863354037
312,-1044.7142857142858,5580.1596638655465
313,-1142.9346099953293,5803.341429238673
314,-1227.1181818181817,6082.290909090909
315,-1262.3502935420743,5773.313111545988
316,-1291.7623049219687,6033.139255702281
317,-1368.5916666666667,5939.9875
318,-1453.8602150537633,6504.462365591398
319,-197.48539518900344,4122.875429553264
320,-189.02087286527515,4722.46679316888
321,-208.25925925925927,4914.98024691358
322,-254.09357696567,4966.74861572536
323,-402.3042575285566,3662.268951194185
324,-606.5,4892.0
325,-658.2704918032787,4910.147540983607
326,-1102.0975609756097,4638.658536585366
327,-1163.406779661017,3898.5
328,-1205.6694915254238,4566.110169491525
329,-1205.356783919598,4590.839195979899
330,-1217.029702970297,4286.544554455446
331,-1387.7281553398059,3863.8252427184466
332,-1442.0594594594595,3861.515315315315
333,-1570.8768656716418,4648.145522388059
334,-1119.1504065040651,2111.2195121951218
335,-1151.902561247216,2192.8624721603564
336,-1182.358208955224,2011.9925373134329
337,-1266.8103448275863,3079.6465517241377
338,-1555.90273556231,2963.176291793313
339,-748.338474025974,869.911525974026
340,-1052.118430792006,681.9522575869726
341,-1075.8158704453442,784.788987854251
342,-1080.0484581497797,388.057268722467
343,-1094.6627417998318,636.0084104289318
344,-1165.2100819468587,627.4509560466848
345,-1155.3818181818183,735.28
346,-1170.3717105263158,1231.9506578947369
347,-1179.1221374045801,1202.9160305343512
348,-1185.0507246376812,1248.3333333333333
349,-1453.2582417582419,664.1758241758242
350,-1569.48,612.7466666666667
351,-1566.15503875969,775.4418604651163
352,-1568.1037735849056,802.1792452830189
353,-1599.6336187471834,881.9351059035602
354,-1578.3,777.7851851851852
355,-1601.514726507714,1004.7826086956521
356,-1625.26,788.005
357,-1640.5678233438487,46.85173501577287
358,1670.7102473498232,210.54063604240284
359,1433.3762626262626,42.51094276094276
360,1432.1965811965813,645.2905982905983
361,730.3454106280193,66.01449275362319
362,249.3269230769231,375.013986013986
363,172.60081466395104,72.64358452138492
364,1637.608527131783,2619.4302325581393
365,1614.608695652174,2651.942028985507
366,1417.1844827586206,2908.303448275862
367,1325.7615384615385,2413.6923076923076
368,1140.0,3179.9494949494947
369,478.99594302977994,2418.5514026758738
370,376.01290322580644,2323.993548387097
371,1553.4972067039107,3379.6145251396647
372,1470.0222222222221,4239.985185185185
373,1385.1546666666668,4341.445333333333
374,1359.8648068669527,4379.418454935622
375,1348.7582089552238,4411.620895522388
376,1313.951048951049,4459.806993006993
377,1229.0130701520407,4554.062683382235
378,1177.4584745762713,4843.311016949153
379,1190.7669902912621,4623.864077669903
380,1118.485294117647,4913.2107843137255
381,1108.8149466192172,4875.487544483985
382,1105.3394495412845,4949.614678899083
383,552.9166666666667,4190.416666666667
384,512.8170731707316,3873.589430894309
385,503.31456953642373,4198.367549668874
386,475.26682134570774,3838.100928074246
387,352.8062500000001,3875.1375
388,187.60882352941167,4758.523529411765
389,149.75438596491222,3889.7830940988833
390,121.31832946635723,4319.819025522042
391,66.70962772785629,4421.029268292683
392,55.140213523131706,4759.5572953736655
393,1674.8372093023256,6315.476744186047
394,1607.9598445595855,6497.001727115717
395,1576.9906580016248,5508.000406173843
396,1568.719298245614,6528.502923976608
397,1558.0648148148148,5560.055555555556
398,1549.4018691588785,6533.859813084112
399,1481.2051592797784,6621.979916897507
400,1490.164992826399,6088.704447632712
401,1343.0319614711034,5807.783931698774
402,1306.493946731235,5928.018159806295
403,1238.002060035315,6659.013243084168
404,1261.8246376811594,5924.850724637681
405,1206.0245398773006,6208.110429447853
406,1198.0583468395462,6241.217179902756
407,1192.4246575342465,5858.102739726028
408,1154.7058823529412,6255.023529411765
409,1098.5102639296188,6264.401759530792
410,1091.524193548387,5508.604838709677
411,1047.8649695628114,5568.629219701163
412,1050.0041039671682,6493.737346101231
413,1053.8154981549815,6459.69741697417
414,1016.6646706586827,6487.8882235528945
415,1009.1652173913044,6549.84099378882
416,998.042381432896,5837.056508577195
417,975.6531791907514,5854.188824662813
418,848.4768430182133,5940.695229835213
419,912.4684684684685,5999.828828828829
420,881.1884567126725,5961.596737766625
421,859.3696526508227,6083.787202925046
422,808.7470760233919,6416.9473684210525
423,815.6574074074074,6445.740740740741
424,803.9005376344086,6097.185483870968
425,800.4794520547945,6380.301369863014
426,738.3947957952784,6198.2168705841805
427,687.9188034188035,6397.4658119658125
428,685.0803571428571,5664.866071428572
429,665.6430868167203,6491.696141479099
430,660.0925925925926,6517.490740740741
431,600.019801980198,6683.797029702971
432,595.4888268156424,6437.1424581005585
433,482.4196570339791,6025.475389012385
434,434.32014833127323,6618.145859085291
435,416.9785714285715,6682.342857142858
436,412.4304635761589,6132.437086092716
437,248.5703125,5391.0
438,230.3060344827586,5693.948275862069
439,229.3509316770187,5733.10248447205
440,211.46467817896382,5673.2558869701725
441,205.31163708086774,5559.4516765286
442,196.29827586206898,5772.070689655173
443,187.62025316455697,5632.107594936709
444,176.64848484848494,5603.107575757575
445,73.31005586592187,6330.709497206704
446,81.60377358490564,6296.481132075472
447,46.54166666666674,6381.565476190476
448,1528.6982758620688,7820.887931034483
449,1327.7970223325062,8341.176674937966
450,1295.2615384615385,6788.400496277915
451,1191.5712365591398,6870.7963709677415
452,1172.3815165876777,6726.372037914692
453,1076.1126373626373,6955.5
454,1054.0710900473932,6934.5165876777255
455,949.954081632653,7057.780612244898
456,859.7635405016775,7196.496245406614
457,774.6268876611418,8159.468139963168
458,763.2666666666667,8079.896296296296
459,729.4879101899827,7898.187392055268
460,731.9586776859504,7942.355371900827
461,732.1338582677165,7956.897637795276
462,711.2068366164542,8256.000579374275
463,727.0,8209.937142857143
464,725.2058823529412,7759.235294117647
465,698.4941909889487,7989.758855199773
466,691.5801362495519,7589.327118441496
467,700.4696449026346,7849.060710194731
468,711.9622641509434,8045.254716981132
469,707.0522875816994,7397.973856209151
470,685.1983345950038,8083.829674489023
471,674.1901408450705,7483.697183098591
472,668.4731861198738,8179.971608832808
473,655.8651832460732,8279.994764397907
474,641.4903846153845,8122.990384615385
475,627.3302752293578,7586.1100917431195
476,582.877049180328,6725.9098360655735
477,502.9989025728569,8173.820387757591
478,541.9256756756756,8311.20945945946
479,510.56031128404675,8273.771206225681
480,453.6404049807984,7758.783893867101
481,460.03428270042195,7991.085970464135
482,448.1491149114911,6953.361836183618
483,438.1298076923076,8299.850961538461
484,402.16464891041164,7582.762711864407
485,409.491935483871,7855.024193548387
486,326.4513742071881,7948.277660324172
487,360.91857506361316,8159.241221374046
488,333.6257402289775,8347.594551914726
489,294.5523809523809,8167.104761904762
490,271.4661654135339,6813.167919799499
491,262.66599799398205,8044.3370110331
492,272.13768115942025,8215.898550724638
