gene,B lymph,CD IC,CD PC,CD Trans,DCT,Endo,Fib,LOH,Macro,NK,Neutro,PT,Podo,T lymph,novel1,novel2,cum_signal,cum_signal_norm,noise_2max,noise_2max_cum,noise_sum,ssr_2max,ssr_2max_cum,ssr_sum,gene_seq,corr,ref,cluster
Insrr,0.8573141962074915,119.04695803488147,0.792617309514546,84.16964945499599,0.7728106522915629,1.2928911153137566,0.9095018280903526,0.9017406655603952,2.4256640746250624,0.8416433042827713,0.953020745677674,0.6560397593540676,0.7924156573258124,1.1409354017979618,0.9386927338563891,1.1348080858140348,119.04695803488147,19.162279074996604,84.16964945499599,457.9140086840194,133.45705356459337,1.4143691794574214,0.2599766676215164,0.8920244742048243,8,0.514721006432975,Atp6v1g3,CD IC
Ociad2,0.9123244353136472,122.79898220815635,0.8199179503485752,86.84253633207429,0.7964718557200616,1.381106888106263,0.9200602007913966,1.0144655126767512,2.478153160950033,0.9345374542600614,0.953020745677674,0.702529844113022,0.7924156573258124,1.1869941895322058,0.9739595583209242,1.1767927865890724,122.79898220815635,19.766220036540204,86.84253633207429,544.7565450160937,137.84173244788184,1.4140418669785206,0.22541992993315665,0.8908694052767134,9,0.593855770687552,Atp6v1g3,CD IC
Oxgr1,0.9254906455516922,126.87936407883173,1.0279416137240631,89.64326169584909,1.0423370286283709,1.4181792242303664,0.9554129826738853,1.1334985327197293,2.5532224501004794,0.9345374542600614,0.953020745677674,0.7167134655189108,0.7924156573258124,1.202414070577476,0.9896660425222773,1.1767927865890724,126.87936407883173,20.42301477896049,89.64326169584909,634.3998067119428,142.70100677893163,1.4153809408377076,0.1999990585376122,0.8891273225240075,10,0.527109643831622,Atp6v1g3,CD IC
Rcan2,0.9476076889453314,129.1532279113313,1.0681807265355887,91.35449765257479,1.0635281218475017,1.5056004559159375,0.9673683775321513,1.1480653249130517,2.6093430980959114,0.9561865801735805,0.9969242983531564,0.7370644919833969,0.8683890666325551,1.2221639959493453,1.008978536919641,1.1767927865890724,129.1532279113313,20.78902508326521,91.35449765257479,725.7543043645176,145.4294214617175,1.4137588321322367,0.17795723309477302,0.8880818380022868,11,0.530299863988312,Atp6v1g3,CD IC
Serpinb9,0.9967488635387759,132.6724175290069,1.1972433844793213,94.7431276032226,1.1296947219096143,1.8093708259528798,1.0293839243752032,1.2363044453773666,2.739065994099919,3.390914966746141,1.0500544021048572,0.7576845991717372,1.0823427654947857,1.4605811321335818,1.037590698473106,1.8935381986693351,132.6724175290069,21.355488054557355,94.7431276032226,820.4974319677401,153.4829364515335,1.4003381657889682,0.1616975414668004,0.8644115143764004,12,0.50625553607482,Atp6v1g3,CD IC
Slc26a4,1.0044844009845788,140.12972325100048,1.2510937672169098,105.53681114710464,1.1593616768738098,1.862676857234011,1.0515990650045492,1.2571413679546413,2.948557837562048,3.395396504379629,1.0500544021048572,0.790149338914749,1.169517418410795,1.5070125659762548,1.0556101082483174,2.121095261343469,140.12972325100048,22.555846096050022,105.53681114710464,926.0342431148448,161.75347382320916,1.3277805320048737,0.1513223990288466,0.8663166233088591,13,0.570688905366149,Atp6v1g3,CD IC
Slc4a9,1.0140147910157908,141.94661958873252,1.264824689229249,107.64703980919383,1.1672363417560216,1.881692339412213,1.0544017940779025,1.2764541483349734,3.0002746817020673,3.395396504379629,1.0500544021048572,0.7948373670999906,1.169517418410795,1.5142004778933567,1.0556101082483174,2.201316028895773,141.94661958873252,22.84830106716956,107.64703980919383,1033.6812829240387,163.7864506812935,1.318630032375579,0.1373214567523166,0.8666566678640691,14,0.498475837682472,Atp6v1g3,CD IC
Spink8,1.0204089595341022,151.8122398614369,4.80544639612136,116.01895781059739,1.3525621406640083,1.966448041506338,1.1854724373428764,1.3417042506669825,3.219776681207392,3.532092283877005,1.0902253697431257,0.8672685924484664,1.169517418410795,1.6520487371112607,1.2378591622913353,2.238894191473936,151.8122398614369,24.436311143480065,116.01895781059739,1149.700240734636,178.49196452383586,1.3085123563105312,0.13204506225416796,0.8505270266167295,15,0.576751016350579,Atp6v1g3,CD IC
Tmem61,1.0204089595341022,153.70526363539932,4.8182207589907975,116.9170024225804,1.3690791006709389,1.9750959371895247,1.1967252182944177,1.480842677103197,3.274826637202134,3.532092283877005,1.1950625575903988,0.8770119508949407,1.235568489098651,1.6588320286012577,1.2600844204887627,2.238894191473936,153.70526363539932,24.741019894136613,116.9170024225804,1266.6172431572165,180.83800884640928,1.314652791728724,0.12135099570590714,0.8499610486529159,16,0.467401158135739,Atp6v1g3,CD IC
Apela,0.03427922201373051,0.04667950699611804,10.883486097563676,5.097119808546835,0.08308291928770306,3.1748986075480614,0.12090027470389116,0.8190435383597313,0.14485401044189136,0.0412243635988869,0.0,0.049766855827232157,0.2914034562807109,0.04341711733846572,0.10454853000966231,0.0,10.883486097563676,1.0,5.097119808546835,5.097119808546835,15.837584499969761,2.135222734869657,2.135222734869657,0.687193561466678,1,0.589033402561961,Aqp2,CD PC
Aqp2,0.2292070513316373,0.2095569155464168,54.59890287850849,25.054817692756043,0.3827523143897502,3.4724133339018475,0.41345921514374323,0.922334562970404,0.44400624457502236,0.13386798832109065,0.03827106630844946,0.1322812570001275,0.35145269665782014,0.1459492825956163,0.19828414344218437,0.10230196261527856,54.59890287850849,5.016674105067377,25.054817692756043,30.15193750130288,61.77504091330786,2.179177815143088,1.810792519590134,0.8838343458991792,2,1.0,Aqp2,CD PC
Aqp3,0.26993470027169336,1.9347686742630554,65.84850676042056,32.12518575862226,0.46908263531632627,3.666161147557919,0.5231202634764901,0.9627555700412428,0.5764414743527715,0.16587030746146875,0.03827106630844946,0.29808377864580227,0.6669229324964172,0.2987542837329905,0.3155575939571702,0.20160253708590786,65.84850676042056,6.05031385809011,32.12518575862226,62.27712325992513,76.23583372538826,2.0497471129096,1.0573466357074588,0.8637474471337947,3,0.562526701007543,Aqp2,CD PC
Avpr2,0.26993470027169336,1.956788857796905,67.68761185709378,32.86998021932046,0.5012128966025454,3.6955489636892396,0.527062037172167,1.0486581437076632,0.5764414743527715,0.17161341042554162,0.13051347936997515,0.30261253907696184,0.6669229324964172,0.2987542837329905,0.32473842897799515,0.20160253708590786,67.68761185709378,6.219295109151286,32.86998021932046,95.1471034792456,78.36001654185256,2.059253197156111,0.7113996052634273,0.8638029296604528,4,0.473598405840692,Aqp2,CD PC
Cav1,0.2743821492149795,2.0342996394686943,71.47370177998948,35.0112584346236,0.6210128633428473,4.8514259010110115,0.5747578380075521,1.0621821964807139,0.5808973972546111,0.19647636850938824,0.13051347936997515,0.3161812369614849,0.7870214132506357,0.31818147229625254,0.3386591866700368,0.20160253708590786,71.47370177998948,6.567169851578093,35.0112584346236,130.15836191386921,83.7612954589136,2.0414490931096374,0.5491287745868096,0.8533022488298143,5,0.477993946822147,Aqp2,CD PC
Cav2,0.308675529707895,2.8403834983415597,75.2049069443127,36.739017086635954,0.8577670878980459,5.907216590975497,0.6205176204199028,1.093775152221364,0.6882894208191668,0.19647636850938824,0.15304726878720623,0.3323309794828889,0.8324359113750169,0.35666307071744763,0.37721839666750157,0.22932994340886573,75.2049069443127,6.9100016548142325,36.739017086635954,166.89737900050517,89.99903378364444,2.04700378257177,0.45060567993752054,0.8356190481456004,6,0.403976938508463,Aqp2,CD PC
Fxyd4,0.3824377466952711,2.936154620281626,103.38793295926273,45.869971227546515,0.9430270222867165,6.2809122753953615,0.7145096802213697,1.1593889339389258,1.1860729466725892,0.2642392103848088,0.2232473389872764,0.47495272138470535,0.9861812278455168,0.41721350029652654,0.48023047600612867,0.30211970090135976,103.38793295926273,9.499523593125796,45.869971227546515,212.76735022805167,120.13862036056092,2.2539349860584754,0.4859201040406239,0.8605720013179283,7,0.648676382315294,Aqp2,CD PC
Gprc5b,0.3824377466952711,2.9455266607314767,104.6101658373019,46.544634817658704,0.9702359538667271,6.357477153715954,0.7184514539170467,1.1636141247802332,1.1860729466725892,0.2642392103848088,0.2232473389872764,0.4787207368606457,0.9861812278455168,0.4328921642378216,0.49651933223008893,0.30211970090135976,104.6101658373019,9.611825190893516,46.544634817658704,259.31198504571034,121.51790158912874,2.24752361356187,0.40341431121612714,0.8608621813681858,8,0.407436797559193,Aqp2,CD PC
Hsd11b2,0.4716907797363583,3.297329298781716,142.8794244890767,68.76082313360018,1.8056669718643636,6.7011919087240495,1.0059262964713014,1.2679477960946306,1.2887241400458227,0.3275531039233897,0.2232473389872764,0.5547984034918868,1.2565796329829595,0.5673234937914667,0.7532090462452723,0.40548679721784603,142.8794244890767,13.128093628112504,68.76082313360018,328.0728081793105,162.80609949743499,2.0779190529971747,0.4355113283603344,0.8776048620422098,9,0.756593136778887,Aqp2,CD PC
Kcne1,0.47809071829694816,3.3414857711490473,147.29272023584502,70.97558690016622,1.8640095218815003,6.7148292926355495,1.0203431782413221,1.2825519356660295,1.2887241400458227,0.33903930985153546,0.2232473389872764,0.5630873678625559,1.2565796329829595,0.5830276943850897,0.7649238493642916,0.40548679721784603,147.29272023584502,13.53359749950131,70.97558690016622,399.04839507947673,167.41814678441278,2.075258925904001,0.36910991762417533,0.8797894557124467,10,0.579236951905237,Aqp2,CD PC
L1cam,0.501350871878472,3.3911765796952036,149.06836770183526,72.06279425122203,1.945316284303697,6.798007210609163,1.2875243344454637,1.4900164420117754,1.3445963045334748,0.34478241281560834,0.5454720560884511,0.5672040614176795,1.286781076611965,0.6855189993403747,0.7769945785495779,0.43169430829051936,149.06836770183526,13.696748115955693,72.06279425122203,471.1111893306988,170.46480322242667,2.068589890952048,0.31641865249181333,0.8744817984937758,11,0.393335466990241,Aqp2,CD PC
Mcoln3,0.501350871878472,3.498789535978961,150.66524904000426,73.0970823849945,1.9495127895644626,6.799209233228584,1.2915100973005453,1.4900164420117754,1.3490522274353145,0.35007985632234645,0.5454720560884511,0.570959589503484,1.441431412203193,0.6890389164392873,0.7832544468214253,0.43169430829051936,150.66524904000426,13.843473285065476,73.0970823849945,544.2082717156933,172.35662082307113,2.061166384815013,0.2768521848538076,0.8741483113356366,12,0.475854361379046,Aqp2,CD PC
Npnt,0.5275354101358686,3.662098307181639,158.6267830211116,78.37934456938204,2.5091694867536165,7.451510058475513,1.3824978266581158,1.5878460964442132,1.483186412240396,0.40532839390797537,0.6888738440064142,0.8937824925196629,6.80828236836361,0.7584447740775259,1.4997292503415616,0.506125370575666,158.6267830211116,14.574997532878829,78.37934456938204,622.5876162850753,188.7911931127934,2.0238340074494228,0.25478628047185303,0.8402234257100115,13,0.392626125232547,Aqp2,CD PC
Scnn1b,0.5533673335887745,4.281428106132346,164.33871628604427,81.3504970463189,3.0172142591879405,7.555295540109762,1.431786817999428,1.60083428865051,1.528869710595937,0.4414453300210179,0.7790090016753388,0.9155624769022265,6.86833160874072,0.8314472448239847,1.5401430089983341,0.5858358620705565,164.33871628604427,15.099823237963463,81.3504970463189,703.9381133313942,196.26928687554104,2.020131680233914,0.2334561990233909,0.8373124440517039,14,0.484074569775915,Aqp2,CD PC
Scnn1g,0.5891563928733513,4.39749661773207,168.30214829281948,83.85289630519101,3.3064702000953106,7.63577952301678,1.476616480239516,1.6111774219409731,1.6273431372179352,0.45293153594916363,1.0207629710302264,0.9252584871449129,6.86833160874072,0.8883702718193525,1.5756251685784997,0.5858358620705565,168.30214829281948,15.463992583267487,83.85289630519101,787.7910096365853,201.26330397126884,2.0071119270617315,0.2136380667386122,0.8362286863622457,15,0.507509286991876,Aqp2,CD PC
Tmem45b,0.5891563928733513,4.429769886635961,170.4977581973451,85.01448399903875,3.412506259996195,7.696201661085746,1.4828099246289024,1.6727268655704337,1.6798516117467408,0.48353735994381886,1.0207629710302264,0.9523077819546608,6.86833160874072,0.9049257035816363,1.6014761577605239,0.5858358620705565,170.4977581973451,15.665730324726734,85.01448399903875,872.805493635624,203.8779582449646,2.0055142391886176,0.19534450623946686,0.8362736200864228,16,0.419423409378169,Aqp2,CD PC
Atp6v0d2,0.03729793564893885,6.2125678041197485,0.04680747441986207,3.9917677168228414,0.057192962540071876,0.057397686252873184,0.061738458174350135,0.0840386387759146,0.1009995752952221,0.06859675921067822,0.0,0.024249579175464418,0.0,0.06547922739003886,0.03858105739825803,0.17740895049248073,3.9917677168228414,1.0,3.9917677168228414,3.9917677168228414,7.032356108893901,1.0,1.0,0.567628779744872,1,0.58128727345936,Slc26a4,CD Trans
Atp6v1c2,0.043521892280409064,11.501511863417578,0.09718612271803716,9.262790978258863,0.17417716394367944,0.13911290334051013,0.10251372974075743,0.1985235808322005,0.3028163167838831,0.06859675921067822,0.0,0.05353782793778819,0.0,0.11369069962215694,0.09242519245972886,0.17740895049248073,9.262790978258863,2.3204734431870637,9.262790978258863,13.254558695081705,13.065023002779888,1.0,0.6988381274207156,0.7089762472127289,2,0.561257081304546,Slc26a4,CD Trans
Atp6v1g3,0.6392722508073239,99.90865810314605,0.6133160446418355,63.081340875965175,0.669974476698818,1.073300148186359,0.7646685800542206,0.8153553202584674,2.1377205568195774,0.788622507127852,0.953020745677674,0.5613809013345679,0.7757764453588911,0.9707602589244984,0.8257469896085767,0.9655944238334783,63.081340875965175,15.80285862078502,63.081340875965175,76.33589957104688,112.46316775247817,1.0,0.8263653304727809,0.5609066695933892,3,0.570688905366149,Slc26a4,CD Trans
Foxi1,0.6392722508073239,104.54357029679493,0.6711854535040425,69.10759968742872,0.6941380970149973,1.1248653377107947,0.8066513811300128,0.8351262655001017,2.2177794268230446,0.7943656100919249,0.953020745677674,0.5823131979935338,0.7757764453588911,1.0110792243725752,0.8587914059493761,0.9960297092860204,69.10759968742872,17.312530334914722,69.10759968742872,145.44349925847558,117.50396484801522,1.0,0.47515083203969005,0.588129939077507,4,0.52902798369125,Slc26a4,CD Trans
Hepacam2,0.6920927140016127,107.72216112404037,0.690854406141394,73.57396216420551,0.7024700147421962,1.1644372962796816,0.8376040268610556,0.8450964240526556,2.2999666298783072,0.7943656100919249,0.953020745677674,0.5928727505455454,0.7757764453588911,1.033158353368042,0.8790510313726797,0.9960297092860204,73.57396216420551,18.431423715898244,73.57396216420551,219.0174614226811,120.97895728169806,1.0,0.33592738079552187,0.6081550363580124,5,0.621902012219884,Slc26a4,CD Trans
Hmx2,0.8396656903270783,113.19005439701667,0.7133862864329058,77.33327395855206,0.7374020846671473,1.236066626480743,0.8974787678608324,0.8908291748239509,2.3289409810771575,0.8255355241194601,0.953020745677674,0.6297508085070981,0.7757764453588911,1.0943290049465966,0.9319284101979466,1.0545873182617307,77.33327395855206,19.373189885934483,77.33327395855206,296.35073538123316,127.09875226575586,1.0,0.2609518544270476,0.6084503001009233,6,0.638499356667727,Slc26a4,CD Trans
Insrr,0.8451942328097808,115.67225082374554,0.7252609466316297,81.40764140154214,0.7451727889260464,1.257379450276809,0.8974787678608324,0.8936082464871125,2.415607381203157,0.8300634268673537,0.953020745677674,0.6383544949502398,0.7924156573258124,1.1014341650396984,0.9386927338563891,1.1348080858140348,81.40764140154214,20.39388240414368,81.40764140154214,377.7583767827753,129.8407419474721,1.0,0.2155018826977713,0.6269807163800413,7,0.753441978975291,Slc26a4,CD Trans
Lsamp,0.8451942328097808,116.04036451041131,0.7252609466316297,81.769806376967,0.7451727889260464,1.257379450276809,0.8974787678608324,0.8936082464871125,2.4206279454342474,0.9084670925501174,0.953020745677674,0.639697197264977,0.7924156573258124,1.1111065787413497,0.9386927338563891,1.1767927865890724,81.769806376967,20.48461037258196,81.769806376967,459.5281831597423,130.34527968084313,1.0,0.17794296274651336,0.627332317496916,8,0.428428291685623,Slc26a4,CD Trans
Ociad2,0.9002044719159364,119.79238868368618,0.7525615874656588,84.4426932540453,0.7688339923545452,1.3455952230693153,0.9080371405618763,1.0063330936034685,2.473117031759218,1.0013612425274074,0.953020745677674,0.6861872820239314,0.7924156573258124,1.1571653664755936,0.9739595583209242,1.21877748736411,84.4426932540453,21.154210175650093,84.4426932540453,543.9708764137876,134.72995856413166,1.0,0.15523384966994347,0.6267551341511802,9,0.526765127705991,Slc26a4,CD Trans
Plet1,0.9463464954042942,122.50775335959722,1.3407531599868383,87.7104039757811,0.8076242493240852,1.6464995670632063,0.9665338419986778,1.4002216759554071,2.518578596931281,1.0291676223740946,0.953020745677674,0.704125859397608,0.7924156573258124,1.180162349685896,1.0029443310293722,1.296202162612436,87.7104039757811,21.972822618444404,87.7104039757811,631.6812803895687,139.09234967436393,1.0,0.13885230843264595,0.6305911445246581,10,0.496576008451624,Slc26a4,CD Trans
Slc26a4,0.9540820328500971,129.9650590815908,1.3946035427244268,98.50408751966314,0.8372912042882806,1.6998055983443376,0.9887489826280239,1.4210585985326818,2.72807044039341,1.0336491600075828,0.953020745677674,0.7365905991406198,0.8795903102418218,1.226593783528569,1.0209637408045835,1.5237592252865702,98.50408751966314,24.676808498783412,98.50408751966314,730.1853679092318,147.36288704603942,1.0,0.13490285049358594,0.6684456954815787,11,1.0,Slc26a4,CD Trans
Slc4a9,0.9636124228813091,131.78195541932283,1.408334464736766,100.61431618175233,0.8451658691704924,1.7188210805225395,0.9915517117013772,1.440371378913014,2.7797872845334295,1.0336491600075828,0.953020745677674,0.7412786273258614,0.8795903102418218,1.2337816954456708,1.0209637408045835,1.6039799928388743,100.61431618175233,25.205453653459088,100.61431618175233,830.7996840909841,149.39586390412376,1.0,0.1211053857005724,0.6734745765540239,12,0.585510208888517,Slc26a4,CD Trans
Spink8,0.9700065913996204,141.6475756920272,4.948956171628876,108.98623418315589,1.030491668078479,1.8035767826166644,1.1226223549663512,1.505621481245023,2.999289284038754,1.170344939504959,0.9931917133159426,0.8137098526743372,0.8795903102418218,1.3716299546635748,1.2032127948476015,1.6415581554170369,108.98623418315589,27.30274953721532,108.98623418315589,939.7859182741399,164.10137774666623,1.0,0.11596921390703802,0.6641396658558522,13,0.571670424938206,Slc26a4,CD Trans
Syn2,0.9828006958762776,143.12096078854813,4.986238055099607,110.35584754549191,1.063435821433815,1.8756391465361877,1.1346058656556428,1.5132881715154702,3.0482999168116636,1.1930520338824553,0.9931917133159426,0.8358259054536386,0.8795903102418218,1.390825436999873,1.2074198580860724,1.6415581554170369,110.35584754549191,27.645859021407986,110.35584754549191,1050.141765819632,165.8667318748737,1.0,0.10508661890936179,0.6653284012899102,14,0.444291837599502,Slc26a4,CD Trans
Syt7,0.9828006958762776,143.8527331138475,5.000351948726451,111.69793955375968,1.0810495344839839,2.0629030960102774,1.1346058656556428,1.522319940436436,3.0943261233129773,1.1930520338824553,0.9931917133159426,0.8393793117913976,0.8795903102418218,1.4088076321307317,1.2074198580860724,1.6415581554170369,111.69793955375968,27.982073977656988,111.69793955375968,1161.8397053733916,166.8940893332151,1.0,0.09613885550404928,0.6692743883262836,15,0.429013395054017,Slc26a4,CD Trans
Tmem117,1.021310371432261,145.58699426620882,5.659833563425368,114.44940190399359,1.1500942382185895,2.1054959543098395,1.1641181034622181,1.6271021354993203,3.1304129642493894,1.1987951368465282,0.9931917133159426,0.851295477152832,0.9456413809296776,1.420583187046685,1.2351392975265068,1.8019996905216447,114.44940190399359,28.671358160861885,114.44940190399359,1276.289107277385,169.89200748014565,1.0,0.0896735710203938,0.6736597183205847,16,0.460861427659841,Slc26a4,CD Trans
Abca13,0.15418131585389153,0.10303434444743348,0.2114180313696088,0.029311494586329905,2.1967059905470925,0.1473000375539936,0.04605409488139027,0.6313641426253479,0.2334386775033961,0.03978580543542239,0.10287572469376798,0.02941429927404204,0.016639211966921284,0.052206638605960615,0.23697129799073793,0.1247673617372681,2.1967059905470925,1.0,0.6313641426253479,0.6313641426253479,3.724104326447257,3.479301154818068,3.479301154818068,0.5898615607911069,1,0.52837111258207,Slc12a3,DCT
Atp1a1,3.9468638741763593,9.247670790012174,21.73929494400136,17.34906016905905,45.19741716931537,7.710798574900056,4.165778318275736,32.61417029832111,3.7163141921192655,3.2166854155492604,6.765767643056031,7.6000662124576825,6.164836333381553,3.1638113628422797,7.583577231699274,3.0124313636154905,45.19741716931537,20.57508713674464,32.61417029832111,33.245534440946464,150.5803735944609,1.3858214621404001,1.3595034018658612,0.3001547684497043,2,0.532976937745801,Slc12a3,DCT
Calb1,5.332417680605961,12.022241332140279,42.15713871265517,23.963844047144814,76.03630471737827,10.2340227484668,6.061523734468272,33.61457220083875,5.554850455281715,4.576908118419106,13.530587500536791,8.353912327964304,7.807029034479925,4.393740050445265,9.853789082858182,3.910994027985744,76.03630471737827,34.613783111886235,42.15713871265517,75.40267315360163,225.24673705901415,1.8036400723408892,1.008403303719563,0.3375689508765533,3,0.528277946212948,Slc12a3,DCT
Defb1,7.104121292858503,22.827948318783058,66.87365275776372,37.19797089300597,105.43691106688689,12.812363953515664,7.500210539452274,38.435125025707926,7.169451339871311,5.719340457525834,17.36577351885018,9.088364916353392,9.619140846886543,5.678966251229144,11.625411622196703,4.925998006139791,105.43691106688689,47.997734571947746,66.87365275776372,142.27632591136535,302.50709804926316,1.5766584703965667,0.7410713651164389,0.3485435936769872,4,0.654987369705636,Slc12a3,DCT
Egf,8.22989542718194,23.86443110676148,69.006782637848,38.95069904159774,130.81815786695205,15.300303900329691,9.018122408038314,91.77734497088916,8.210920726723366,6.796994144167943,18.8657062001074,9.5810146753211,11.537018790423403,6.851357293428252,13.261691898884145,5.681495153703674,130.81815786695205,59.55196481909334,91.77734497088916,234.0536708822545,375.97459127146857,1.4253861659263105,0.5589237604086236,0.34794414543959473,5,0.676375497663309,Slc12a3,DCT
Ier3,8.457149335378038,24.435606125298396,71.08115257060001,39.74984081279327,134.38351274004927,16.06867464308239,9.287143826806876,94.21978747911669,8.51556351908627,7.011844891503029,20.50268574256082,9.679070650551132,12.612245383176104,7.0642927240892215,13.547892404547158,5.952685068299058,134.38351274004927,61.175010819987286,94.21978747911669,328.2734583613712,388.34936043782096,1.4262769672435809,0.409364538366415,0.3460376826385055,6,0.503325199400031,Slc12a3,DCT
Kcnj1,8.696895737350802,24.818057466592773,77.15336253111124,41.87773894723847,138.8898813346544,16.40177848246847,9.503883771364547,97.19765168488568,8.696939199045756,7.258330506094253,21.003663550808987,9.77056652411071,12.772269782963333,7.2172881822828305,13.862899896567706,5.976258854249081,138.8898813346544,63.22643172656151,97.19765168488568,425.47111004625685,403.8998147669034,1.428942766898677,0.3264378662973249,0.34387210951015124,7,0.545110087318996,Slc12a3,DCT
Kng2,9.217680818273072,26.02164139634456,79.90439245719773,42.862223921854586,146.6901399128,17.258025732619355,9.835841012152626,106.5889478449218,8.96726914482462,7.605272605415525,22.532965417061735,9.942512381977464,13.11049283043449,7.568554777961428,14.338504551124355,6.059640537233829,146.6901399128,66.77732047166978,106.5889478449218,532.0600578911786,421.91515749727535,1.3762227968158776,0.27570222146388274,0.34767686655994884,8,0.625129399578958,Slc12a3,DCT
