gene_seq,gene,background,signal,nprobe,signalxnprobe,cum_signal,cum_signalxnprobe,program,cum_signal_norm,cum_signal_nprobe_norm
44,acsbg1,0.00026554639260472924,0.27115061273413027,1.0,0.27115061273413027,49.08617087983384,49.08617087983384,0,4.978610325960276,4.978610325960276
45,nkain4,0.06719216743676207,0.26990766765000324,1.0,0.26990766765000324,49.35607854748384,49.35607854748384,0,5.005985961034924,5.005985961034924
46,id4,0.011930739697565768,0.2647647971663921,1.0,0.2647647971663921,49.62084334465023,49.62084334465023,0,5.032839975709451,5.032839975709451
47,s100a16,6.0173682428625e-05,0.24357807247524188,1.0,0.24357807247524188,49.86442141712548,49.86442141712548,0,5.057545107217294,5.057545107217294
48,cml1,0.02966605822727555,0.2433764415250906,1.0,0.2433764415250906,50.10779785865057,50.10779785865057,0,5.082229788119347,5.082229788119347
49,cmtm5,0.0,0.23874752164889676,1.0,0.23874752164889676,50.34654538029947,50.34654538029947,0,5.106444976537454,5.106444976537454
50,tsc22d4,0.005474075498993487,0.2346565945602203,1.0,0.2346565945602203,50.58120197485969,50.58120197485969,0,5.130245238888172,5.130245238888172
51,slc7a10,0.0006031903020568527,0.22025439786650475,1.0,0.22025439786650475,50.80145637272619,50.80145637272619,0,5.152584745105529,5.152584745105529
52,slc4a4,0.043993403089249816,0.2137484061903146,1.0,0.2137484061903146,51.015204778916505,51.015204778916505,0,5.174264375093816,5.174264375093816
53,fxyd1,0.10545382694321566,0.21252274829083678,1.0,0.21252274829083678,51.22772752720734,51.22772752720734,0,5.195819691594924,5.195819691594924
54,slc39a12,0.0,0.20544472470329678,1.0,0.20544472470329678,51.43317225191064,51.43317225191064,0,5.216657113000758,5.216657113000758
55,slc7a11,0.003097340998807144,0.20282355622465703,1.0,0.20282355622465703,51.6359958081353,51.6359958081353,0,5.237228679966942,5.237228679966942
56,fam20a,0.007255917598351024,0.20068238714585482,1.0,0.20068238714585482,51.83667819528115,51.83667819528115,0,5.257583076876993,5.257583076876993
57,ppp1r3c,0.012563266441531624,0.19906988212045112,1.0,0.19906988212045112,52.03574807740161,52.03574807740161,0,5.277773923971969,5.277773923971969
58,slc38a3,5.779225055359149e-05,0.19809356117796764,1.0,0.19809356117796764,52.23384163857958,52.23384163857958,0,5.297865746811466,5.297865746811466
59,fabp7,0.016817669139479147,0.19211518702853497,1.0,0.19211518702853497,52.42595682560811,52.42595682560811,0,5.3173512075180165,5.3173512075180165
60,mertk,0.0008936884410939096,0.18721563899790525,1.0,0.18721563899790525,52.613172464606016,52.613172464606016,0,5.33633972702951,5.33633972702951
61,lcat,0.001632432909118055,0.18340247754217662,1.0,0.18340247754217662,52.79657494214819,52.79657494214819,0,5.3549414931100925,5.3549414931100925
62,tmem100,0.0,0.1817758842498585,1.0,0.1817758842498585,52.97835082639805,52.97835082639805,0,5.373378280460085,5.373378280460085
63,pon2,0.00011243790455514413,0.17536145865089509,1.0,0.17536145865089509,53.15371228504895,53.15371228504895,0,5.391164478755163,5.391164478755163
64,btbd17,0.016331904250100875,0.1679688263698116,1.0,0.1679688263698116,53.321681111418755,53.321681111418755,0,5.408200872476958,5.408200872476958
65,sox9,0.08602335414032215,0.16667388167060815,1.0,0.16667388167060815,53.48835499308937,53.48835499308937,0,5.425105925233765,5.425105925233765
66,mfsd2a,0.0,0.16247025749335275,1.0,0.16247025749335275,53.65082525058272,53.65082525058272,0,5.441584621516634,5.441584621516634
67,s100b,0.0024720246939273194,0.16049392664139336,1.0,0.16049392664139336,53.811319177224114,53.811319177224114,0,5.457862866613137,5.457862866613137
68,mlc1,0.0,0.1574032141055108,1.0,0.1574032141055108,53.96872239132963,53.96872239132963,0,5.473827633329275,5.473827633329275
69,prex2,0.011349250071106516,0.15739862948032204,1.0,0.15739862948032204,54.12612102080995,54.12612102080995,0,5.489791935045559,5.489791935045559
70,dio2,0.0007726234357795,0.1570489948283562,1.0,0.1570489948283562,54.283170015638305,54.283170015638305,0,5.505720774743572,5.505720774743572
71,phgdh,2.5881216067654787e-05,0.1555765965811079,1.0,0.1555765965811079,54.43874661221941,54.43874661221941,0,5.521500275086196,5.521500275086196
72,tlcd1,0.00018443813836801598,0.14916494631251373,1.0,0.14916494631251373,54.58791155853193,54.58791155853193,0,5.536629467864358,5.536629467864358
73,timp4,0.008133480638412351,0.14838317162981043,1.0,0.14838317162981043,54.73629473016174,54.73629473016174,0,5.551679368421552,5.551679368421552
74,slc15a2,0.001534810321987083,0.1482599518985258,1.0,0.1482599518985258,54.88455468206026,54.88455468206026,0,5.566716771303422,5.566716771303422
75,slc25a18,0.0015303542364808798,0.14592471851977337,1.0,0.14592471851977337,55.030479400580035,55.030479400580035,0,5.581517320977869,5.581517320977869
76,aqp4,0.001322367397518652,0.14338921064129306,1.0,0.14338921064129306,55.17386861122133,55.17386861122133,0,5.596060704418343,5.596060704418343
77,ezr,0.02347495055061743,0.14178999802931638,1.0,0.14178999802931638,55.31565860925065,55.31565860925065,0,5.610441886239079,5.610441886239079
78,fgfr3,0.0054560537217137745,0.14138206069979645,1.0,0.14138206069979645,55.457040669950445,55.457040669950445,0,5.624781692638497,5.624781692638497
79,plcd4,0.00011146115714093883,0.13929808016011536,1.0,0.13929808016011536,55.59633875011056,55.59633875011056,0,5.638910129382308,5.638910129382308
80,scrg1,0.00035140047143887235,0.13648109748577794,1.0,0.13648109748577794,55.73281984759634,55.73281984759634,0,5.652752851050382,5.652752851050382
81,tril,7.631793518590478e-05,0.134761046813173,1.0,0.134761046813173,55.867580894409514,55.867580894409514,0,5.666421114986547,5.666421114986547
82,vcam1,0.0005347708847124947,0.1301545289872593,1.0,0.1301545289872593,55.997735423396776,55.997735423396776,0,5.679622158587459,5.679622158587459
83,dbx2,0.0011674470436588845,0.12579709275603965,1.0,0.12579709275603965,56.123532516152814,56.123532516152814,0,5.6923812451844595,5.6923812451844595
84,ccdc141,0.0,0.12173830512379667,1.0,0.12173830512379667,56.24527082127661,56.24527082127661,0,5.704728665488195,5.704728665488195
85,clmn,0.008282982873002807,0.11965517926553351,1.0,0.11965517926553351,56.36492600054215,56.36492600054215,0,5.716864802823176,5.716864802823176
86,slc9a3r1,0.0005425076515841256,0.1152762144436538,1.0,0.1152762144436538,56.4802022149858,56.4802022149858,0,5.7285567995970075,5.7285567995970075
87,tcn2,0.0,0.11340247820637968,1.0,0.11340247820637968,56.593604693192184,56.593604693192184,0,5.740058750938251,5.740058750938251
88,tspan15,0.004238284857492722,0.11279948473921386,1.0,0.11279948473921386,56.7064041779314,56.7064041779314,0,5.751499543108828,5.751499543108828
89,cyp2j9,0.0,0.11200015711845422,1.0,0.11200015711845422,56.81840433504985,56.81840433504985,0,5.762859262735445,5.762859262735445
90,cbs,0.0,0.11192548703617596,1.0,0.11192548703617596,56.93032982208602,56.93032982208602,0,5.774211408879836,5.774211408879836
91,hepacam,0.001295111853332599,0.11182995913455367,1.0,0.11182995913455367,57.042159781220576,57.042159781220576,0,5.785553866018365,5.785553866018365
92,myo10,0.022433958115358206,0.10715755764756055,1.0,0.10715755764756055,57.14931733886814,57.14931733886814,0,5.796422420510319,5.796422420510319
93,prodh,0.02426057601541204,0.10623147940414418,1.0,0.10623147940414418,57.25554881827228,57.25554881827228,0,5.807197046659061,5.807197046659061
94,atp13a4,0.0026337007416114664,0.1058729013820761,1.0,0.1058729013820761,57.36142171965436,57.36142171965436,0,5.81793530369994,5.81793530369994
95,gramd3,0.006109400797171214,0.10465476891493276,1.0,0.10465476891493276,57.46607648856929,57.46607648856929,0,5.8285500105275805,5.8285500105275805
96,itih3,0.0,0.09926805489705848,1.0,0.09926805489705848,57.56534454346635,57.56534454346635,0,5.838618364898883,5.838618364898883
97,daam2,0.0008728846244407952,0.09709415883742988,1.0,0.09709415883742988,57.66243870230378,57.66243870230378,0,5.848466229849723,5.848466229849723
98,s100a13,0.0007934964288831591,0.09709029940749518,1.0,0.09709029940749518,57.75952900171128,57.75952900171128,0,5.858313703354309,5.858313703354309
99,gpc5,0.005450472170457065,0.09452178080494895,1.0,0.09452178080494895,57.854050782516225,57.854050782516225,0,5.867900662481671,5.867900662481671
100,oaf,0.0,0.09374322987169388,1.0,0.09374322987169388,57.94779401238792,57.94779401238792,0,5.877408656359837,5.877408656359837
101,rbp1,0.0024524020007511277,0.09342309081830982,1.0,0.09342309081830982,58.04121710320623,58.04121710320623,0,5.886884179838126,5.886884179838126
