,x,y,leiden,QC,n_genes,normalize_total,class
5142,6837.407407,12096.59259,0,cell,53,9261.001,Inhibitory neurons 1
5143,7157.064516,12098.72581,0,cell,53,11311.718,Inhibitory neurons 1
5144,6362.770833,12098.39583,4,cell,52,1651.9375,Endothelial cells
5145,6437.332046,12106.61004,0,cell,53,6639.8765,Inhibitory neurons 1
5146,7483.317881,12101.6755,0,cell,53,6242.086,Inhibitory neurons 1
5147,6685.733333,12098.96667,0,cell,53,7250.234,Inhibitory neurons 1
5148,6824.0,12100.13514,0,cell,53,8249.257,Inhibitory neurons 1
5149,7544.959677,12102.66935,7,cell,53,16410.193,Blood vessel associated cells
5150,7050.62069,12104.23276,6,cell,53,10715.146,Excitatory neurons 3
5151,6515.342105,12105.99342,0,cell,53,8386.75,Inhibitory neurons 1
5152,6694.880952,12105.9881,4,cell,53,6246.524,Endothelial cells
5153,7164.432584,12109.19663,11,cell,53,5693.533,Microglia
5154,7437.283871,12108.56129,6,cell,53,8366.535,Excitatory neurons 3
5155,6635.130081,12108.11382,10,cell,53,5057.7554,Mature oligodendrocytes 2
5156,6865.831325,12110.87349,0,cell,53,11564.409,Inhibitory neurons 1
5157,6923.163636,12109.40909,0,cell,53,8782.418,Inhibitory neurons 1
5158,7148.425641,12112.07179,0,cell,53,17537.115,Inhibitory neurons 1
5159,7309.621622,12114.37838,1,cell,53,6354.5605,Astrocytes
5160,6981.592593,12115.78395,0,cell,53,8908.369,Inhibitory neurons 1
5161,7112.859296,12118.13065,0,cell,53,12683.105,Inhibitory neurons 1
5162,7319.575758,12111.57576,1,cell,53,4012.182,Astrocytes
5163,7453.494949,12114.34343,0,cell,53,3400.505,Inhibitory neurons 1
5164,6620.49,12116.58,0,cell,53,11447.001,Inhibitory neurons 1
5165,6850.925926,12117.67284,0,cell,53,16091.432,Inhibitory neurons 1
5166,6497.6,12117.896,0,cell,53,7968.368,Inhibitory neurons 1
5167,7030.265306,12117.57143,0,cell,53,7616.0205,Inhibitory neurons 1
5168,6634.082707,12121.28571,0,cell,53,8222.083,Inhibitory neurons 1
5169,7558.198529,12121.23529,7,cell,53,8761.935,Blood vessel associated cells
5170,6355.968,12122.824,1,cell,53,3199.0322,Astrocytes
5171,7260.870229,12123.31298,1,cell,53,4625.0005,Astrocytes
5172,7547.606061,12122.77273,7,cell,53,20772.9,Blood vessel associated cells
5173,6523.300752,12126.61654,0,cell,53,12736.789,Inhibitory neurons 1
5174,6908.792373,12128.77966,0,cell,53,9259.293,Inhibitory neurons 1
5175,7075.161765,12124.75,0,cell,53,8362.161,Inhibitory neurons 1
5176,7521.137681,12126.98551,7,cell,53,5409.6157,Blood vessel associated cells
5177,6498.733068,12132.61355,0,cell,53,10751.551,Inhibitory neurons 1
5178,7319.375,12128.44118,6,cell,53,9085.418,Excitatory neurons 3
5179,6400.316547,12132.11511,0,cell,53,6072.6396,Inhibitory neurons 1
5180,6512.494048,12132.10119,0,cell,53,8300.518,Inhibitory neurons 1
5181,6550.747475,12128.77778,4,cell,53,4313.5356,Endothelial cells
5182,6842.627803,12132.02691,0,cell,53,12023.136,Inhibitory neurons 1
5183,6466.075758,12131.95455,4,cell,53,5686.114,Endothelial cells
5184,6721.629371,12132.41259,0,cell,53,12690.057,Inhibitory neurons 1
5185,7239.337838,12136.64865,0,cell,53,7721.266,Inhibitory neurons 1
5186,6605.692308,12133.29231,1,cell,53,2759.1694,Astrocytes
5187,6976.52439,12138.48171,0,cell,53,11037.427,Inhibitory neurons 1
5188,7556.257143,12136.66667,7,cell,53,7288.457,Blood vessel associated cells
5189,7079.24812,12140.77444,1,cell,53,3788.97,Astrocytes
5190,6637.746667,12141.36667,10,cell,53,6779.987,Mature oligodendrocytes 2
5191,6671.963351,12142.40314,1,cell,53,7023.445,Astrocytes
5192,7466.757576,12141.43939,0,cell,53,9617.947,Inhibitory neurons 1
5193,6550.632813,12141.21094,13,cell,53,8541.805,Pericytes
5194,7450.684211,12140.70526,0,cell,53,6699.3364,Inhibitory neurons 1
5195,6745.622951,12141.95082,0,cell,53,8288.188,Inhibitory neurons 1
5196,6924.898089,12142.33758,0,cell,53,12122.2295,Inhibitory neurons 1
5197,7057.808081,12143.32323,0,cell,53,5460.818,Inhibitory neurons 1
5198,7613.330508,12143.11864,7,cell,53,3251.9827,Blood vessel associated cells
5199,7044.577778,12142.83333,1,cell,53,4045.3884,Astrocytes
5200,6519.205607,12146.28037,0,cell,53,8241.009,Inhibitory neurons 1
5201,7583.036697,12147.66972,7,cell,53,8443.234,Blood vessel associated cells
5202,6831.583333,12146.60417,0,cell,53,13277.834,Inhibitory neurons 1
5203,7392.401961,12145.55882,1,cell,53,8995.009,Astrocytes
5204,7557.484848,12146.79545,7,cell,53,5617.803,Blood vessel associated cells
5205,6800.839506,12148.21605,0,cell,53,9991.568,Inhibitory neurons 1
5206,7248.224044,12149.64481,0,cell,53,6130.6616,Inhibitory neurons 1
5207,7421.585,12150.07,0,cell,53,12542.387,Inhibitory neurons 1
5208,6815.553333,12150.49333,0,cell,53,14026.6455,Inhibitory neurons 1
5209,6397.48227,12149.34043,0,cell,53,6066.9863,Inhibitory neurons 1
5210,7270.069182,12154.39937,0,cell,53,7209.4814,Inhibitory neurons 1
5211,7483.86,12149.2,6,cell,53,9570.614,Excitatory neurons 3
5212,6741.072289,12150.81928,0,cell,53,11198.071,Inhibitory neurons 1
5213,6977.095541,12152.33121,10,cell,53,8666.032,Mature oligodendrocytes 2
5214,6944.328125,12150.1875,1,cell,53,3218.2344,Astrocytes
