,x,y,leiden,QC
260,6857.619048,13058.22751,34,cell
261,6888.896341,13056.17683,34,cell
262,6367.557692,13055.61538,24,cell
263,6776.925926,13052.59259,4,cell
264,6522.668033,13059.56967,26,cell
265,6682.861386,13057.88119,4,cell
266,6538.059072,13066.50633,26,cell
267,6937.881988,13063.28571,34,cell
268,6608.744186,13066.71628,24,cell
269,6580.285223,13071.21306,24,cell
270,6967.578231,13068.39456,34,cell
271,6447.382253,13072.40956,24,cell
272,6400.865385,13068.86538,3,cell
273,6667.281879,13069.6443,34,cell
274,6953.60241,13071.3253,3,cell
275,6927.040741,13075.75185,34,cell
276,6472.088496,13071.84956,24,cell
277,6650.641434,13076.88048,24,cell
278,6523.02509,13077.51254,26,cell
279,6839.744048,13078.75595,3,cell
280,6691.196429,13080.42262,24,cell
281,6907.8125,13077.0125,34,cell
282,6875.684211,13080.49474,24,cell
283,6456.128834,13085.92638,24,cell
284,6402.474138,13085.93103,12,cell
285,6662.877301,13086.88344,24,cell
286,6470.01506,13090.90361,24,cell
287,6728.805556,13087.47222,34,cell
288,6874.400826,13093.57025,24,cell
289,6886.529412,13088.63399,24,cell
290,6839.452174,13093.56087,24,cell
291,6790.118227,13092.60099,24,cell
292,6804.591837,13093.2449,24,cell
293,6723.422131,13105.37705,24,cell
294,6668.546798,13099.14778,24,cell
295,6707.2827,13099.09705,24,cell
296,6767.817259,13099.51777,24,cell
297,6744.207921,13100.47525,24,cell
298,6503.30303,13104.82955,24,cell
299,6808.703704,13102.22222,9,cell
300,6554.51495,13113.23256,24,cell
301,6668.348837,13110.88372,24,cell
302,6528.240909,13119.19545,24,cell
303,6707.244444,13123.05,24,cell
304,6662.730435,13124.93043,24,cell
305,6575.746269,13129.66169,26,cell
306,6583.28821,13143.15284,26,cell
307,6656.453988,13143.55215,24,cell
308,6601.511864,13155.41695,26,cell
309,6638.664596,13163.75776,26,cell
310,6612.619469,13189.23009,26,cell
311,6604.711864,13210.33051,24,cell
312,6615.372093,13214.84884,24,cell
313,6637.862069,13215.28736,24,cell
314,6598.069124,13227.76037,24,cell
315,6584.039394,13236.85152,24,cell
316,6499.159763,13244.30769,3,cell
317,6553.099057,13250.48113,24,cell
318,6539.816024,13257.46884,24,cell
319,6521.951872,13262.48663,24,cell
320,6369.490446,13268.27389,16,cell
321,6512.393443,13272.2541,24,cell
322,6485.087719,13275.14035,22,cell
323,6420.0,13284.03891,3,cell
324,6492.290698,13284.44186,24,cell
325,6479.16129,13290.67742,24,cell
326,6462.295918,13293.76531,24,cell
327,6435.610169,13298.72881,24,cell
328,6422.843137,13302.45098,24,cell
329,6457.154762,13302.04762,24,cell
330,6361.0,13308.5,22,cell
331,6405.891626,13315.49754,24,cell
332,6435.784672,13317.07299,24,cell
333,6414.022222,13325.05185,24,cell
334,6398.542636,13327.62016,24,cell
335,6384.141026,13328.70513,22,cell
336,6409.050336,13346.42282,24,cell
337,6405.104235,13361.86645,24,cell
338,6387.834254,13370.67403,22,cell
339,6401.231481,13378.44907,24,cell
340,6363.086705,13379.45087,24,cell
341,6375.970803,13382.64964,24,cell
342,6388.318841,13381.93478,24,cell
343,6357.827362,13397.69055,24,cell
344,6379.316,13397.532,24,cell
345,6354.333333,13415.95,24,cell
346,5206.454545,12704.27273,6,cell
347,5423.596059,12708.03941,4,cell
348,5435.534483,12704.0,4,cell
349,5852.802632,12703.5,3,cell
350,6018.593103,12707.26897,24,cell
351,5109.088889,12706.71111,4,cell
352,5651.636943,12711.86624,23,cell
353,5234.970149,12711.79104,23,cell
354,5496.862069,12713.28448,7,cell
355,5509.724638,12715.95169,4,cell
356,5893.327273,12713.43636,6,cell
357,5815.149425,12717.97701,3,cell
358,6147.451613,12715.70968,3,cell
359,5560.548077,12721.03846,10,cell
360,5977.450704,12724.76056,3,cell
361,6015.857143,12725.49451,24,cell
362,5193.590476,12731.95238,4,cell
363,5518.213873,12735.39306,23,cell
364,6020.081967,12740.29098,24,cell
365,6333.325,12735.025,3,cell
366,5694.446809,12735.93617,20,cell
367,5505.733766,12744.38312,4,cell
368,5625.788889,12743.22222,24,cell
369,6035.636364,12743.94545,3,cell
370,5317.215909,12745.92045,4,cell
371,6194.177778,12744.37778,12,cell
372,6224.26506,12745.6747,9,cell
373,5594.04186,12747.73488,24,cell
374,5652.985507,12749.76087,23,cell
375,6133.76699,12751.06796,23,cell
376,5379.215385,12752.85385,4,cell
377,5717.174419,12754.30233,4,cell
378,6206.896552,12756.51724,5,cell
